postal_code,estimated_cat_population,estimated_dog_population
AB10,"1,675.72","1,921.75"
AB11,"2,072.99","2,377.35"
AB12,"3,601.57","4,130.35"
AB13,"1,153.84","1,323.24"
AB14,"2,325.13","2,666.50"
AB15,"8,774.02","10,062.23"
AB16,"5,664.09","6,495.69"
AB21,"5,429.21","6,226.34"
AB22,"1,950.47","2,236.84"
AB23,"1,094.73","1,255.46"
AB24,"1,994.16","2,286.94"
AB25,851.0035514,975.9487636
AB30,"4,225.42","4,845.81"
AB31,"3,961.30","4,542.91"
AB32,923.3044091,"1,058.86"
AB33,"1,960.82","2,248.71"
AB34,"2,182.35","2,502.77"
AB35,748.8826325,858.8343469
AB36,198.7987426,227.9865774
AB37,805.854518,924.1709029
AB38,"2,503.43","2,870.99"
AB39,"4,902.58","5,622.39"
AB41,"7,457.56","8,552.49"
AB42,"9,981.04","11,446.46"
AB43,"9,081.17","10,414.48"
AB44,"2,408.16","2,761.73"
AB45,"3,211.51","3,683.02"
AB51,"12,705.25","14,570.64"
AB52,"4,285.25","4,914.42"
AB53,"9,130.65","10,471.22"
AB54,"2,686.30","3,080.71"
AB55,"4,197.28","4,813.52"
AB56,866.9044183,994.184212
AL1,"2,570.54","2,947.95"
AL10,"4,027.15","4,618.42"
AL2,"7,389.91","8,474.91"
AL3,"4,061.57","4,657.89"
AL4,"3,089.77","3,543.41"
AL5,"4,441.67","5,093.80"
AL6,"4,157.38","4,767.78"
AL7,"4,655.45","5,338.97"
AL8,"2,757.97","3,162.90"
AL9,"5,893.83","6,759.17"
B1,428.5319285,491.4494247
B10,575.8420669,660.3877884
B11,"1,444.01","1,656.02"
B12,607.8803998,697.1300221
B13,"1,600.86","1,835.91"
B14,"2,868.36","3,289.50"
B15,853.1961669,978.4633011
B16,"1,017.49","1,166.88"
B17,"1,844.87","2,115.73"
B18,678.657341,778.2985062
B19,265.329493,304.2854407
B2,88.52149839,101.5183154
B20,506.2086567,580.5307297
B21,508.5390567,583.2032814
B23,"2,462.92","2,824.52"
B24,"1,817.29","2,084.11"
B25,"1,018.06","1,167.53"
B26,"1,978.75","2,269.27"
B27,"3,100.61","3,555.85"
B28,"2,288.59","2,624.60"
B29,"1,778.16","2,039.23"
B3,131.8046082,151.1562956
B30,"1,575.49","1,806.81"
B31,"3,862.96","4,430.13"
B32,"2,272.32","2,605.95"
B33,"2,016.49","2,312.56"
B34,"1,001.63","1,148.70"
B35,747.7114246,857.4911811
B36,"1,950.34","2,236.69"
B37,"4,019.93","4,610.14"
B38,"1,374.84","1,576.69"
B4,63.97059597,73.36282433
B40,9.320749627,10.68923162
B42,"1,306.22","1,498.00"
B43,"3,183.93","3,651.40"
B44,"3,027.31","3,471.78"
B45,"3,147.61","3,609.75"
B46,"3,712.53","4,257.61"
B47,"2,482.76","2,847.29"
B48,"1,450.09","1,663.00"
B49,"2,452.52","2,812.61"
B5,439.1810073,503.6620122
B50,"1,274.87","1,462.05"
B6,236.6754937,271.4244318
B60,"4,385.65","5,029.56"
B61,"4,272.80","4,900.13"
B62,"2,833.20","3,249.17"
B63,"3,488.33","4,000.49"
B64,"1,468.08","1,683.63"
B65,"3,101.16","3,556.48"
B66,"1,125.08","1,290.26"
B67,"1,437.58","1,648.65"
B68,"2,077.93","2,383.01"
B69,"2,761.60","3,167.06"
B7,212.9204033,244.1815948
B70,"1,428.86","1,638.65"
B71,"2,133.97","2,447.28"
B72,567.5448289,650.8723414
B73,"1,731.02","1,985.17"
B74,"3,394.01","3,892.32"
B75,"1,767.23","2,026.70"
B76,"1,295.71","1,485.94"
B77,"3,906.41","4,479.95"
B78,"4,090.85","4,691.47"
B79,"4,156.18","4,766.39"
B8,786.8403906,902.3651019
B80,"1,019.40","1,169.07"
B9,706.7715058,810.5404215
B90,"10,127.42","11,614.33"
B91,"8,753.25","10,038.41"
B92,"6,475.57","7,426.32"
B93,"2,748.38","3,151.90"
B94,"1,742.39","1,998.21"
B95,777.4422182,891.5870802
B96,"1,658.51","1,902.01"
B97,"5,226.27","5,993.60"
B98,"3,474.19","3,984.27"
BA1,"7,063.64","8,100.73"
BA10,"1,211.93","1,389.86"
BA11,"11,619.51","13,325.50"
BA12,"11,330.13","12,993.63"
BA13,"2,863.35","3,283.76"
BA14,"4,602.97","5,278.78"
BA15,"2,293.41","2,630.13"
BA16,"1,440.70","1,652.22"
BA2,"17,395.63","19,949.67"
BA20,"1,686.00","1,933.54"
BA21,"5,087.77","5,834.77"
BA22,"6,687.52","7,669.39"
BA3,"8,018.55","9,195.84"
BA4,"7,430.48","8,521.43"
BA5,"5,317.42","6,098.13"
BA6,"4,176.98","4,790.25"
BA7,"4,010.26","4,599.05"
BA8,"1,342.55","1,539.66"
BA9,"3,770.64","4,324.25"
BB1,"7,302.31","8,374.44"
BB10,"2,179.23","2,499.19"
BB11,"2,256.60","2,587.92"
BB12,"3,562.15","4,085.14"
BB18,"5,154.70","5,911.52"
BB2,"9,418.52","10,801.35"
BB3,"5,147.07","5,902.77"
BB4,"4,432.70","5,083.52"
BB5,"4,200.15","4,816.82"
BB6,"2,768.09","3,174.51"
AB99,0,0
B99,0,0
BB7,"8,112.05","9,303.07"
BB8,"6,741.34","7,731.11"
BB9,"8,780.08","10,069.18"
BD1,297.20577,340.8418253
BD10,"4,495.64","5,155.70"
BD11,"5,002.59","5,737.08"
BD12,"1,268.53","1,454.78"
BD13,"1,245.74","1,428.64"
BD14,359.4094864,412.178355
BD15,"1,303.96","1,495.41"
BD16,"3,204.17","3,674.61"
BD17,"3,592.47","4,119.92"
BD18,"6,775.68","7,770.49"
BD19,"3,654.71","4,191.30"
BD2,"4,257.05","4,882.08"
BD20,"17,324.58","19,868.19"
BD21,"4,928.16","5,651.72"
BD22,"2,324.76","2,666.08"
BD23,"11,090.69","12,719.03"
BD24,"4,844.16","5,555.38"
BD3,"3,987.95","4,573.46"
BD4,"5,002.06","5,736.46"
BD5,"1,179.69","1,352.89"
BD6,"1,286.31","1,475.17"
BD7,"1,230.80","1,411.51"
BD8,"1,635.46","1,875.57"
BD9,"2,060.46","2,362.97"
BH1,"2,392.46","2,743.72"
BH10,"2,645.07","3,033.42"
BH11,"2,277.64","2,612.05"
BH12,"3,634.95","4,168.64"
BH13,989.3254496,"1,134.58"
