ID,Name,Display Name,Date Created,Tenant Status,Account,Address,City,Province,Postal Code,Country,Listing Title,Listing Service Status
2200,32-Carluke-Cres-North-York-ON,,2024-03-04T16:52:50,active,Sparkle Solutions,32 Carluke Cres ,North York,ON,M2L 2J3,CA,L8388,active
2200,32-Carluke-Cres-North-York-ON,,2024-03-04T16:52:50,active,Sparkle Solutions,32 Carluke Cres ,North York,ON,M2L 2J3,CA,L8392,active
2196,1600-East-Ave-Rochester-NY,,2024-03-01T16:38:13,active,TRI CITY RENTALS,1600 East Ave,Rochester,NY,14610,US,P4219,active
2196,1600-East-Ave-Rochester-NY,,2024-03-01T16:38:13,active,TRI CITY RENTALS,1600 East Ave,Rochester,NY,14610,US,P4220,active
2196,1600-East-Ave-Rochester-NY,,2024-03-01T16:38:13,active,TRI CITY RENTALS,1600 East Ave,Rochester,NY,14610,US,P4221,active
2196,1600-East-Ave-Rochester-NY,,2024-03-01T16:38:13,active,TRI CITY RENTALS,1600 East Ave,Rochester,NY,14610,US,P4222,active
2196,1600-East-Ave-Rochester-NY,,2024-03-01T16:38:13,active,TRI CITY RENTALS,1600 East Ave,Rochester,NY,14610,US,P4223,active
2196,1600-East-Ave-Rochester-NY,,2024-03-01T16:38:13,active,TRI CITY RENTALS,1600 East Ave,Rochester,NY,14610,US,P4224,active
2196,1600-East-Ave-Rochester-NY,,2024-03-01T16:38:13,active,TRI CITY RENTALS,1600 East Ave,Rochester,NY,14610,US,P4225,active
2196,1600-East-Ave-Rochester-NY,,2024-03-01T16:38:13,active,TRI CITY RENTALS,1600 East Ave,Rochester,NY,14610,US,P4226,active
2196,1600-East-Ave-Rochester-NY,,2024-03-01T16:38:13,active,TRI CITY RENTALS,1600 East Ave,Rochester,NY,14610,US,P4227,active
2196,1600-East-Ave-Rochester-NY,,2024-03-01T16:38:13,active,TRI CITY RENTALS,1600 East Ave,Rochester,NY,14610,US,P4228,active
2196,1600-East-Ave-Rochester-NY,,2024-03-01T16:38:13,active,TRI CITY RENTALS,1600 East Ave,Rochester,NY,14610,US,P4229,active
2196,1600-East-Ave-Rochester-NY,,2024-03-01T16:38:13,active,TRI CITY RENTALS,1600 East Ave,Rochester,NY,14610,US,P4230,active
2196,1600-East-Ave-Rochester-NY,,2024-03-01T16:38:13,active,TRI CITY RENTALS,1600 East Ave,Rochester,NY,14610,US,P4231,active
2196,1600-East-Ave-Rochester-NY,,2024-03-01T16:38:13,active,TRI CITY RENTALS,1600 East Ave,Rochester,NY,14610,US,P4232,active
2196,1600-East-Ave-Rochester-NY,,2024-03-01T16:38:13,active,TRI CITY RENTALS,1600 East Ave,Rochester,NY,14610,US,P4233,active
2196,1600-East-Ave-Rochester-NY,,2024-03-01T16:38:13,active,TRI CITY RENTALS,1600 East Ave,Rochester,NY,14610,US,P4234,active
2192,603-Regan-Ave-Coquitlam-BC,,2024-02-29T21:17:18,active,P1_EPS6584 Regan West,603 Regan Ave,Coquitlam,BC,V3J 0K2,CA,L8353,active
2192,603-Regan-Ave-Coquitlam-BC,,2024-02-29T21:17:18,active,P1_EPS6584 Regan West,603 Regan Ave,Coquitlam,BC,V3J 0K2,CA,L8354,active
2191,600-Chieftain-St-Woodstock-ON,,2024-02-29T20:25:44,active,Drewlo Holdings Inc.,600 Chieftain St,Woodstock,ON,N4T 1S1,CA,L8228,active
2191,600-Chieftain-St-Woodstock-ON,,2024-02-29T20:25:44,active,Drewlo Holdings Inc.,600 Chieftain St,Woodstock,ON,N4T 1S1,CA,L8229,active
2190,555-561-Sherbourne-Street-Toronto-ON,,2024-02-29T18:52:21,active,Sparkle Solutions,555-561 Sherbourne street,Toronto ,ON,m4x0a1,CA,L8383,active
2190,555-561-Sherbourne-Street-Toronto-ON,,2024-02-29T18:52:21,active,Sparkle Solutions,555-561 Sherbourne street,Toronto ,ON,m4x0a1,CA,L8381,active
2190,555-561-Sherbourne-Street-Toronto-ON,,2024-02-29T18:52:21,active,Sparkle Solutions,555-561 Sherbourne street,Toronto ,ON,m4x0a1,CA,L8389,active
2190,555-561-Sherbourne-Street-Toronto-ON,,2024-02-29T18:52:21,active,Sparkle Solutions,555-561 Sherbourne street,Toronto ,ON,m4x0a1,CA,L8408,active
2189,90-Kingston-Rd-E-Ajax-ON,RioCan Durham Centre,2024-02-29T18:24:23,active,P1_RioCan Management Inc-ITF-Durham Centre,90 Kingston Rd E,Ajax,ON,L1Z 1G1,CA,P3667,active
2189,90-Kingston-Rd-E-Ajax-ON,RioCan Durham Centre,2024-02-29T18:24:23,active,P1_RioCan Management Inc-ITF-Durham Centre,90 Kingston Rd E,Ajax,ON,L1Z 1G1,CA,P3659,active
2189,90-Kingston-Rd-E-Ajax-ON,RioCan Durham Centre,2024-02-29T18:24:23,active,P1_RioCan Management Inc-ITF-Durham Centre,90 Kingston Rd E,Ajax,ON,L1Z 1G1,CA,P3666,active
2189,90-Kingston-Rd-E-Ajax-ON,RioCan Durham Centre,2024-02-29T18:24:23,active,P1_RioCan Management Inc-ITF-Durham Centre,90 Kingston Rd E,Ajax,ON,L1Z 1G1,CA,P3662,active
2189,90-Kingston-Rd-E-Ajax-ON,RioCan Durham Centre,2024-02-29T18:24:23,active,P1_RioCan Management Inc-ITF-Durham Centre,90 Kingston Rd E,Ajax,ON,L1Z 1G1,CA,P3562,active
2189,90-Kingston-Rd-E-Ajax-ON,RioCan Durham Centre,2024-02-29T18:24:23,active,P1_RioCan Management Inc-ITF-Durham Centre,90 Kingston Rd E,Ajax,ON,L1Z 1G1,CA,P3670,active
2188,3803-Calgary-Trail-NW-Edmonton-AB,,2024-02-28T20:16:04,active,First Capital Realty Inc.,3803 Calgary Trail NW,Edmonton,AB,T6J 5M8,CA,G6203,active
2188,3803-Calgary-Trail-NW-Edmonton-AB,,2024-02-28T20:16:04,active,First Capital Realty Inc.,3803 Calgary Trail NW,Edmonton,AB,T6J 5M8,CA,G6204,active
2188,3803-Calgary-Trail-NW-Edmonton-AB,,2024-02-28T20:16:04,active,First Capital Realty Inc.,3803 Calgary Trail NW,Edmonton,AB,T6J 5M8,CA,G6205,active
2188,3803-Calgary-Trail-NW-Edmonton-AB,,2024-02-28T20:16:04,active,First Capital Realty Inc.,3803 Calgary Trail NW,Edmonton,AB,T6J 5M8,CA,G6206,active
2186,185-Clearview-Ave-Ottawa-ON,,2024-02-27T19:53:45,active,Sparkle Solutions,185 Clearview Ave,Ottawa,ON,K1Z6R9,CA,L8601,active
2186,185-Clearview-Ave-Ottawa-ON,,2024-02-27T19:53:45,active,Sparkle Solutions,185 Clearview Ave,Ottawa,ON,K1Z6R9,CA,L8603,active
2185,4216-Wilkinson-Rd-Victoria-BC,,2024-02-27T18:59:44,active,CBRE,4216 Wilkinson Rd,Victoria,BC,V8Z 5B2,CA,P3473,active
2185,4216-Wilkinson-Rd-Victoria-BC,,2024-02-27T18:59:44,active,CBRE,4216 Wilkinson Rd,Victoria,BC,V8Z 5B2,CA,P3487,active
2185,4216-Wilkinson-Rd-Victoria-BC,,2024-02-27T18:59:44,active,CBRE,4216 Wilkinson Rd,Victoria,BC,V8Z 5B2,CA,P3415,active
2185,4216-Wilkinson-Rd-Victoria-BC,,2024-02-27T18:59:44,active,CBRE,4216 Wilkinson Rd,Victoria,BC,V8Z 5B2,CA,P3417,active
2184,6100-Tower-Circle-Franklin-TN-37067,,2024-02-27T16:33:28,active,P1_US VI Music Circle South LLC,6100-Tower-Circle,Franklin,TN,37067,US,L8358,active
2184,6100-Tower-Circle-Franklin-TN-37067,,2024-02-27T16:33:28,active,P1_US VI Music Circle South LLC,6100-Tower-Circle,Franklin,TN,37067,US,L8357,active
2181,1-Dean-Park-Rd-Scarborough-ON,,2024-02-26T20:58:51,active,Sparkle Solutions,1 Dean Park Rd,Scarborough,ON,M1B 2W5,CA,L8396,active
2181,1-Dean-Park-Rd-Scarborough-ON,,2024-02-26T20:58:51,active,Sparkle Solutions,1 Dean Park Rd,Scarborough,ON,M1B 2W5,CA,L8415,active
2181,1-Dean-Park-Rd-Scarborough-ON,,2024-02-26T20:58:51,active,Sparkle Solutions,1 Dean Park Rd,Scarborough,ON,M1B 2W5,CA,L8395,active
2181,1-Dean-Park-Rd-Scarborough-ON,,2024-02-26T20:58:51,active,Sparkle Solutions,1 Dean Park Rd,Scarborough,ON,M1B 2W5,CA,L8375,active
2180,120-Shelborne-Ave-North-York-ON,,2024-02-26T19:48:11,active,Sparkle Solutions,120 Shelborne Ave,North York,ON,M6B 2M7,CA,L8391,active
2180,120-Shelborne-Ave-North-York-ON,,2024-02-26T19:48:11,active,Sparkle Solutions,120 Shelborne Ave,North York,ON,M6B 2M7,CA,L8407,active
2180,120-Shelborne-Ave-North-York-ON,,2024-02-26T19:48:11,active,Sparkle Solutions,120 Shelborne Ave,North York,ON,M6B 2M7,CA,L8363,active
2180,120-Shelborne-Ave-North-York-ON,,2024-02-26T19:48:11,active,Sparkle Solutions,120 Shelborne Ave,North York,ON,M6B 2M7,CA,L8366,active
2180,120-Shelborne-Ave-North-York-ON,,2024-02-26T19:48:11,active,Sparkle Solutions,120 Shelborne Ave,North York,ON,M6B 2M7,CA,L8405,active
2180,120-Shelborne-Ave-North-York-ON,,2024-02-26T19:48:11,active,Sparkle Solutions,120 Shelborne Ave,North York,ON,M6B 2M7,CA,L8364,active
2179,1-Town-Hall-Plaza-Clifton-Park-NY,,2024-02-26T18:25:07,active,P1_Town of Clifton Park,1 Town Hall Plaza,Clifton Park,NY,12065,US,P4051,active
2179,1-Town-Hall-Plaza-Clifton-Park-NY,,2024-02-26T18:25:07,active,P1_Town of Clifton Park,1 Town Hall Plaza,Clifton Park,NY,12065,US,P4053,active
2179,1-Town-Hall-Plaza-Clifton-Park-NY,,2024-02-26T18:25:07,active,P1_Town of Clifton Park,1 Town Hall Plaza,Clifton Park,NY,12065,US,P4054,active
